2019-09-27 12:03:48.345 | SUCCESS  | __main__:main:85 - RESP: success
2019-09-27 12:03:49.148 | INFO     | __main__:main:172 - Stock market cap percent
class StockMarketCapPercent { Sort=37, Code=2357, Name=華碩, Percent=0.4765% }
class StockMarketCapPercent { Sort=857, Code=2358, Name=廷鑫, Percent=0.0034% }
class StockMarketCapPercent { Sort=592, Code=2359, Name=所羅門, Percent=0.0115% }
class StockMarketCapPercent { Sort=74, Code=2360, Name=致茂, Percent=0.1995% }
class StockMarketCapPercent { Sort=186, Code=2362, Name=藍天, Percent=0.0642% }
class StockMarketCapPercent { Sort=545, Code=2363, Name=矽統, Percent=0.0139% }
class StockMarketCapPercent { Sort=771, Code=2365, Name=昆盈, Percent=0.0058% }
class StockMarketCapPercent { Sort=209, Code=2367, Name=燿華, Percent=0.0582% }
class StockMarketCapPercent { Sort=392, Code=2368, Name=金像電, Percent=0.0248% }
class StockMarketCapPercent { Sort=615, Code=2369, Name=菱生, Percent=0.0105% }
class StockMarketCapPercent { Sort=106, Code=2371, Name=大同, Percent=0.1240% }
class StockMarketCapPercent { Sort=171, Code=2373, Name=震旦行, Percent=0.0710% }
class StockMarketCapPercent { Sort=537, Code=2374, Name=佳能, Percent=0.0150% }
class StockMarketCapPercent { Sort=619, Code=2375, Name=智寶, Percent=0.0103% }
class StockMarketCapPercent { Sort=118, Code=2376, Name=技嘉, Percent=0.1056% }
class StockMarketCapPercent { Sort=67, Code=2377, Name=微星, Percent=0.2227% }
class StockMarketCapPercent { Sort=50, Code=2379, Name=瑞昱, Percent=0.3436% }
class StockMarketCapPercent { Sort=888, Code=2380, Name=虹光, Percent=0.0022% }
class StockMarketCapPercent { Sort=27, Code=2382, Name=廣達, Percent=0.6864% }
class StockMarketCapPercent { Sort=97, Code=2383, Name=台光電, Percent=0.1327% }
class StockMarketCapPercent { Sort=73, Code=2385, Name=群光, Percent=0.2037% }
class StockMarketCapPercent { Sort=409, Code=2387, Name=精元, Percent=0.0230% }
class StockMarketCapPercent { Sort=235, Code=2388, Name=威盛, Percent=0.0492% }
class StockMarketCapPercent { Sort=711, Code=2390, Name=云辰, Percent=0.0075% }
class StockMarketCapPercent { Sort=213, Code=2392, Name=正崴, Percent=0.0558% }
class StockMarketCapPercent { Sort=283, Code=2393, Name=億光, Percent=0.0383% }
class StockMarketCapPercent { Sort=32, Code=2395, Name=研華, Percent=0.5870% }
class StockMarketCapPercent { Sort=334, Code=2397, Name=友通, Percent=0.0314% }
class StockMarketCapPercent { Sort=752, Code=2399, Name=映泰, Percent=0.0062% }
class StockMarketCapPercent { Sort=386, Code=2401, Name=凌陽, Percent=0.0255% }
class StockMarketCapPercent { Sort=518, Code=2402, Name=毅嘉, Percent=0.0159% }
class StockMarketCapPercent { Sort=140, Code=2404, Name=漢唐, Percent=0.0929% }
class StockMarketCapPercent { Sort=566, Code=2405, Name=浩鑫, Percent=0.0127% }
class StockMarketCapPercent { Sort=668, Code=2406, Name=國碩, Percent=0.0086% }
